_links,_permissions,assets,geometry,id,properties,type
"{'_self': 'https://api.planet.com/data/v1/item-types/PSScene/items/20240212_235738_77_2438', 'assets': 'https://api.planet.com/data/v1/item-types/PSScene/items/20240212_235738_77_2438/assets/', 'thumbnail': 'https://tiles.planet.com/data/v1/item-types/PSScene/items/20240212_235738_77_2438/thumb'}","['assets.basic_analytic_4b:download', 'assets.basic_analytic_4b_rpc:download', 'assets.basic_analytic_4b_xml:download', 'assets.basic_analytic_8b:download', 'assets.basic_analytic_8b_xml:download', 'assets.basic_udm2:download', 'assets.ortho_analytic_4b:download', 'assets.ortho_analytic_4b_sr:download', 'assets.ortho_analytic_4b_xml:download', 'assets.ortho_analytic_8b:download', 'assets.ortho_analytic_8b_sr:download', 'assets.ortho_analytic_8b_xml:download', 'assets.ortho_udm2:download', 'assets.ortho_visual:download']","['basic_analytic_4b', 'basic_analytic_4b_rpc', 'basic_analytic_4b_xml', 'basic_analytic_8b', 'basic_analytic_8b_xml', 'basic_udm2', 'ortho_analytic_4b', 'ortho_analytic_4b_sr', 'ortho_analytic_4b_xml', 'ortho_analytic_8b', 'ortho_analytic_8b_sr', 'ortho_analytic_8b_xml', 'ortho_udm2', 'ortho_visual']","{'coordinates': [[[150.89547584858542, -34.46648807047708], [150.85178636037975, -34.63326118570916], [151.18988636180484, -34.693458815778605], [151.2330440261417, -34.52694669593742], [150.89547584858542, -34.46648807047708]]], 'type': 'Polygon'}",20240212_235738_77_2438,"{'acquired': '2024-02-12T23:57:38.775148Z', 'anomalous_pixels': 0, 'clear_confidence_percent': 94, 'clear_percent': 100, 'cloud_cover': 0, 'cloud_percent': 0, 'ground_control': True, 'gsd': 3.6, 'heavy_haze_percent': 0, 'instrument': 'PSB.SD', 'item_type': 'PSScene', 'light_haze_percent': 0, 'pixel_resolution': 3, 'provider': 'planetscope', 'published': '2024-02-13T01:50:56Z', 'publishing_stage': 'finalized', 'quality_category': 'standard', 'satellite_azimuth': 95.2, 'satellite_id': '2438', 'shadow_percent': 0, 'snow_ice_percent': 0, 'strip_id': '7104908', 'sun_azimuth': 62.9, 'sun_elevation': 53.7, 'updated': '2024-02-13T08:00:23Z', 'view_angle': 2.8, 'visible_confidence_percent': 72, 'visible_percent': 100}",Feature
"{'_self': 'https://api.planet.com/data/v1/item-types/PSScene/items/20240212_231816_50_242d', 'assets': 'https://api.planet.com/data/v1/item-types/PSScene/items/20240212_231816_50_242d/assets/', 'thumbnail': 'https://tiles.planet.com/data/v1/item-types/PSScene/items/20240212_231816_50_242d/thumb'}","['assets.basic_analytic_4b:download', 'assets.basic_analytic_4b_rpc:download', 'assets.basic_analytic_4b_xml:download', 'assets.basic_analytic_8b:download', 'assets.basic_analytic_8b_xml:download', 'assets.basic_udm2:download', 'assets.ortho_analytic_4b:download', 'assets.ortho_analytic_4b_sr:download', 'assets.ortho_analytic_4b_xml:download', 'assets.ortho_analytic_8b:download', 'assets.ortho_analytic_8b_sr:download', 'assets.ortho_analytic_8b_xml:download', 'assets.ortho_udm2:download', 'assets.ortho_visual:download']","['basic_analytic_4b', 'basic_analytic_4b_rpc', 'basic_analytic_4b_xml', 'basic_analytic_8b', 'basic_analytic_8b_xml', 'basic_udm2', 'ortho_analytic_4b', 'ortho_analytic_4b_sr', 'ortho_analytic_4b_xml', 'ortho_analytic_8b', 'ortho_analytic_8b_sr', 'ortho_analytic_8b_xml', 'ortho_udm2', 'ortho_visual']","{'coordinates': [[[150.56050005134864, -34.467271479008836], [150.5169666207443, -34.63192329393273], [150.8504815763964, -34.69143184746795], [150.89340673909504, -34.52759233793919], [150.56050005134864, -34.467271479008836]]], 'type': 'Polygon'}",20240212_231816_50_242d,"{'acquired': '2024-02-12T23:18:16.509824Z', 'anomalous_pixels': 0, 'clear_confidence_percent': 96, 'clear_percent': 100, 'cloud_cover': 0, 'cloud_percent': 0, 'ground_control': True, 'gsd': 3.5, 'heavy_haze_percent': 0, 'instrument': 'PSB.SD', 'item_type': 'PSScene', 'light_haze_percent': 0, 'pixel_resolution': 3, 'provider': 'planetscope', 'published': '2024-02-13T01:13:15Z', 'publishing_stage': 'finalized', 'quality_category': 'standard', 'satellite_azimuth': 96.9, 'satellite_id': '242d', 'shadow_percent': 0, 'snow_ice_percent': 0, 'strip_id': '7104825', 'sun_azimuth': 72.3, 'sun_elevation': 46.1, 'updated': '2024-02-13T12:57:29Z', 'view_angle': 5, 'visible_confidence_percent': 74, 'visible_percent': 100}",Feature
"{'_self': 'https://api.planet.com/data/v1/item-types/PSScene/items/20240212_231814_54_242d', 'assets': 'https://api.planet.com/data/v1/item-types/PSScene/items/20240212_231814_54_242d/assets/', 'thumbnail': 'https://tiles.planet.com/data/v1/item-types/PSScene/items/20240212_231814_54_242d/thumb'}","['assets.basic_analytic_4b:download', 'assets.basic_analytic_4b_rpc:download', 'assets.basic_analytic_4b_xml:download', 'assets.basic_analytic_8b:download', 'assets.basic_analytic_8b_xml:download', 'assets.basic_udm2:download', 'assets.ortho_analytic_4b:download', 'assets.ortho_analytic_4b_sr:download', 'assets.ortho_analytic_4b_xml:download', 'assets.ortho_analytic_8b:download', 'assets.ortho_analytic_8b_sr:download', 'assets.ortho_analytic_8b_xml:download', 'assets.ortho_udm2:download', 'assets.ortho_visual:download']","['basic_analytic_4b', 'basic_analytic_4b_rpc', 'basic_analytic_4b_xml', 'basic_analytic_8b', 'basic_analytic_8b_xml', 'basic_udm2', 'ortho_analytic_4b', 'ortho_analytic_4b_sr', 'ortho_analytic_4b_xml', 'ortho_analytic_8b', 'ortho_analytic_8b_sr', 'ortho_analytic_8b_xml', 'ortho_udm2', 'ortho_visual']","{'coordinates': [[[150.59313169558396, -34.34282655142071], [150.54986021517018, -34.507532972692395], [150.88292557129958, -34.56699622922335], [150.92576992011732, -34.40316980773885], [150.59313169558396, -34.34282655142071]]], 'type': 'Polygon'}",20240212_231814_54_242d,"{'acquired': '2024-02-12T23:18:14.547519Z', 'anomalous_pixels': 0, 'clear_confidence_percent': 95, 'clear_percent': 100, 'cloud_cover': 0, 'cloud_percent': 0, 'ground_control': True, 'gsd': 3.5, 'heavy_haze_percent': 0, 'instrument': 'PSB.SD', 'item_type': 'PSScene', 'light_haze_percent': 0, 'pixel_resolution': 3, 'provider': 'planetscope', 'published': '2024-02-13T01:13:06Z', 'publishing_stage': 'finalized', 'quality_category': 'standard', 'satellite_azimuth': 96.8, 'satellite_id': '242d', 'shadow_percent': 0, 'snow_ice_percent': 0, 'strip_id': '7104825', 'sun_azimuth': 72.4, 'sun_elevation': 46.1, 'updated': '2024-02-13T12:57:29Z', 'view_angle': 5, 'visible_confidence_percent': 73, 'visible_percent': 100}",Feature
"{'_self': 'https://api.planet.com/data/v1/item-types/PSScene/items/20240128_235402_37_241c', 'assets': 'https://api.planet.com/data/v1/item-types/PSScene/items/20240128_235402_37_241c/assets/', 'thumbnail': 'https://tiles.planet.com/data/v1/item-types/PSScene/items/20240128_235402_37_241c/thumb'}","['assets.basic_analytic_4b:download', 'assets.basic_analytic_4b_rpc:download', 'assets.basic_analytic_4b_xml:download', 'assets.basic_analytic_8b:download', 'assets.basic_analytic_8b_xml:download', 'assets.basic_udm2:download', 'assets.ortho_analytic_4b:download', 'assets.ortho_analytic_4b_sr:download', 'assets.ortho_analytic_4b_xml:download', 'assets.ortho_analytic_8b:download', 'assets.ortho_analytic_8b_sr:download', 'assets.ortho_analytic_8b_xml:download', 'assets.ortho_udm2:download', 'assets.ortho_visual:download']","['basic_analytic_4b', 'basic_analytic_4b_rpc', 'basic_analytic_4b_xml', 'basic_analytic_8b', 'basic_analytic_8b_xml', 'basic_udm2', 'ortho_analytic_4b', 'ortho_analytic_4b_sr', 'ortho_analytic_4b_xml', 'ortho_analytic_8b', 'ortho_analytic_8b_sr', 'ortho_analytic_8b_xml', 'ortho_udm2', 'ortho_visual']","{'coordinates': [[[150.65871257989843, -34.33613306422353], [150.61495019973276, -34.50590246227395], [150.95834863980926, -34.566333086701704], [151.0015764464572, -34.39644378735985], [150.65871257989843, -34.33613306422353]]], 'type': 'Polygon'}",20240128_235402_37_241c,"{'acquired': '2024-01-28T23:54:02.372262Z', 'anomalous_pixels': 0, 'clear_confidence_percent': 94, 'clear_percent': 100, 'cloud_cover': 0, 'cloud_percent': 0, 'ground_control': True, 'gsd': 3.6, 'heavy_haze_percent': 0, 'instrument': 'PSB.SD', 'item_type': 'PSScene', 'light_haze_percent': 0, 'pixel_resolution': 3, 'provider': 'planetscope', 'published': '2024-01-29T02:00:28Z', 'publishing_stage': 'finalized', 'quality_category': 'standard', 'satellite_azimuth': 30.7, 'satellite_id': '241c', 'shadow_percent': 0, 'snow_ice_percent': 0, 'strip_id': '7071522', 'sun_azimuth': 70.4, 'sun_elevation': 55.8, 'updated': '2024-01-29T09:58:46Z', 'view_angle': 0.9, 'visible_confidence_percent': 63, 'visible_percent': 100}",Feature
"{'_self': 'https://api.planet.com/data/v1/item-types/PSScene/items/20240128_235404_37_241c', 'assets': 'https://api.planet.com/data/v1/item-types/PSScene/items/20240128_235404_37_241c/assets/', 'thumbnail': 'https://tiles.planet.com/data/v1/item-types/PSScene/items/20240128_235404_37_241c/thumb'}","['assets.basic_analytic_4b:download', 'assets.basic_analytic_4b_rpc:download', 'assets.basic_analytic_4b_xml:download', 'assets.basic_analytic_8b:download', 'assets.basic_analytic_8b_xml:download', 'assets.basic_udm2:download', 'assets.ortho_analytic_4b:download', 'assets.ortho_analytic_4b_sr:download', 'assets.ortho_analytic_4b_xml:download', 'assets.ortho_analytic_8b:download', 'assets.ortho_analytic_8b_sr:download', 'assets.ortho_analytic_8b_xml:download', 'assets.ortho_udm2:download', 'assets.ortho_visual:download']","['basic_analytic_4b', 'basic_analytic_4b_rpc', 'basic_analytic_4b_xml', 'basic_analytic_8b', 'basic_analytic_8b_xml', 'basic_udm2', 'ortho_analytic_4b', 'ortho_analytic_4b_sr', 'ortho_analytic_4b_xml', 'ortho_analytic_8b', 'ortho_analytic_8b_sr', 'ortho_analytic_8b_xml', 'ortho_udm2', 'ortho_visual']","{'coordinates': [[[150.6258120763549, -34.46339721109926], [150.58205147057234, -34.63313645245945], [150.92584048433437, -34.69361211119415], [150.96926126597643, -34.52373400964721], [150.6258120763549, -34.46339721109926]]], 'type': 'Polygon'}",20240128_235404_37_241c,"{'acquired': '2024-01-28T23:54:04.375617Z', 'anomalous_pixels': 0, 'clear_confidence_percent': 95, 'clear_percent': 100, 'cloud_cover': 0, 'cloud_percent': 0, 'ground_control': True, 'gsd': 3.6, 'heavy_haze_percent': 0, 'instrument': 'PSB.SD', 'item_type': 'PSScene', 'light_haze_percent': 0, 'pixel_resolution': 3, 'provider': 'planetscope', 'published': '2024-01-29T01:59:26Z', 'publishing_stage': 'finalized', 'quality_category': 'standard', 'satellite_azimuth': 28.3, 'satellite_id': '241c', 'shadow_percent': 0, 'snow_ice_percent': 0, 'strip_id': '7071522', 'sun_azimuth': 70.2, 'sun_elevation': 55.7, 'updated': '2024-01-29T07:56:27Z', 'view_angle': 0.9, 'visible_confidence_percent': 66, 'visible_percent': 100}",Feature
"{'_self': 'https://api.planet.com/data/v1/item-types/PSScene/items/20240123_230959_49_24c5', 'assets': 'https://api.planet.com/data/v1/item-types/PSScene/items/20240123_230959_49_24c5/assets/', 'thumbnail': 'https://tiles.planet.com/data/v1/item-types/PSScene/items/20240123_230959_49_24c5/thumb'}","['assets.basic_analytic_4b:download', 'assets.basic_analytic_4b_rpc:download', 'assets.basic_analytic_4b_xml:download', 'assets.basic_analytic_8b:download', 'assets.basic_analytic_8b_xml:download', 'assets.basic_udm2:download', 'assets.ortho_analytic_4b:download', 'assets.ortho_analytic_4b_sr:download', 'assets.ortho_analytic_4b_xml:download', 'assets.ortho_analytic_8b:download', 'assets.ortho_analytic_8b_sr:download', 'assets.ortho_analytic_8b_xml:download', 'assets.ortho_udm2:download', 'assets.ortho_visual:download']","['basic_analytic_4b', 'basic_analytic_4b_rpc', 'basic_analytic_4b_xml', 'basic_analytic_8b', 'basic_analytic_8b_xml', 'basic_udm2', 'ortho_analytic_4b', 'ortho_analytic_4b_sr', 'ortho_analytic_4b_xml', 'ortho_analytic_8b', 'ortho_analytic_8b_sr', 'ortho_analytic_8b_xml', 'ortho_udm2', 'ortho_visual']","{'coordinates': [[[150.77725683208013, -34.495013274059446], [150.72886897130203, -34.67799181729231], [151.09955027223486, -34.744979628283], [151.14773144224907, -34.56291017589938], [150.77725683208013, -34.495013274059446]]], 'type': 'Polygon'}",20240123_230959_49_24c5,"{'acquired': '2024-01-23T23:09:59.492526Z', 'anomalous_pixels': 0, 'clear_confidence_percent': 92, 'clear_percent': 99, 'cloud_cover': 0, 'cloud_percent': 0, 'ground_control': True, 'gsd': 3.9, 'heavy_haze_percent': 0, 'instrument': 'PSB.SD', 'item_type': 'PSScene', 'light_haze_percent': 1, 'pixel_resolution': 3, 'provider': 'planetscope', 'published': '2024-01-24T06:04:25Z', 'publishing_stage': 'finalized', 'quality_category': 'standard', 'satellite_azimuth': 97.5, 'satellite_id': '24c5', 'shadow_percent': 0, 'snow_ice_percent': 0, 'strip_id': '7060828', 'sun_azimuth': 80.3, 'sun_elevation': 48.3, 'updated': '2024-01-24T12:59:34Z', 'view_angle': 4.7, 'visible_confidence_percent': 64, 'visible_percent': 100}",Feature
"{'_self': 'https://api.planet.com/data/v1/item-types/PSScene/items/20240123_230957_30_24c5', 'assets': 'https://api.planet.com/data/v1/item-types/PSScene/items/20240123_230957_30_24c5/assets/', 'thumbnail': 'https://tiles.planet.com/data/v1/item-types/PSScene/items/20240123_230957_30_24c5/thumb'}","['assets.basic_analytic_4b:download', 'assets.basic_analytic_4b_rpc:download', 'assets.basic_analytic_4b_xml:download', 'assets.basic_analytic_8b:download', 'assets.basic_analytic_8b_xml:download', 'assets.basic_udm2:download', 'assets.ortho_analytic_4b:download', 'assets.ortho_analytic_4b_sr:download', 'assets.ortho_analytic_4b_xml:download', 'assets.ortho_analytic_8b:download', 'assets.ortho_analytic_8b_sr:download', 'assets.ortho_analytic_8b_xml:download', 'assets.ortho_udm2:download', 'assets.ortho_visual:download']","['basic_analytic_4b', 'basic_analytic_4b_rpc', 'basic_analytic_4b_xml', 'basic_analytic_8b', 'basic_analytic_8b_xml', 'basic_udm2', 'ortho_analytic_4b', 'ortho_analytic_4b_sr', 'ortho_analytic_4b_xml', 'ortho_analytic_8b', 'ortho_analytic_8b_sr', 'ortho_analytic_8b_xml', 'ortho_udm2', 'ortho_visual']","{'coordinates': [[[150.81461853355367, -34.357962474162925], [150.7649167687981, -34.54072740925851], [151.13580604047783, -34.60780507721268], [151.18396490758496, -34.425749897757065], [150.81461853355367, -34.357962474162925]]], 'type': 'Polygon'}",20240123_230957_30_24c5,"{'acquired': '2024-01-23T23:09:57.303201Z', 'anomalous_pixels': 0, 'clear_confidence_percent': 92, 'clear_percent': 100, 'cloud_cover': 0, 'cloud_percent': 0, 'ground_control': True, 'gsd': 3.9, 'heavy_haze_percent': 0, 'instrument': 'PSB.SD', 'item_type': 'PSScene', 'light_haze_percent': 0, 'pixel_resolution': 3, 'provider': 'planetscope', 'published': '2024-01-24T05:58:03Z', 'publishing_stage': 'finalized', 'quality_category': 'standard', 'satellite_azimuth': 97.5, 'satellite_id': '24c5', 'shadow_percent': 0, 'snow_ice_percent': 0, 'strip_id': '7060828', 'sun_azimuth': 80.4, 'sun_elevation': 48.3, 'updated': '2024-01-24T12:59:25Z', 'view_angle': 4.7, 'visible_confidence_percent': 72, 'visible_percent': 100}",Feature
"{'_self': 'https://api.planet.com/data/v1/item-types/PSScene/items/20240121_000453_18_24dd', 'assets': 'https://api.planet.com/data/v1/item-types/PSScene/items/20240121_000453_18_24dd/assets/', 'thumbnail': 'https://tiles.planet.com/data/v1/item-types/PSScene/items/20240121_000453_18_24dd/thumb'}","['assets.basic_analytic_4b:download', 'assets.basic_analytic_4b_rpc:download', 'assets.basic_analytic_4b_xml:download', 'assets.basic_analytic_8b:download', 'assets.basic_analytic_8b_xml:download', 'assets.basic_udm2:download', 'assets.ortho_analytic_4b:download', 'assets.ortho_analytic_4b_sr:download', 'assets.ortho_analytic_4b_xml:download', 'assets.ortho_analytic_8b:download', 'assets.ortho_analytic_8b_sr:download', 'assets.ortho_analytic_8b_xml:download', 'assets.ortho_udm2:download', 'assets.ortho_visual:download']","['basic_analytic_4b', 'basic_analytic_4b_rpc', 'basic_analytic_4b_xml', 'basic_analytic_8b', 'basic_analytic_8b_xml', 'basic_udm2', 'ortho_analytic_4b', 'ortho_analytic_4b_sr', 'ortho_analytic_4b_xml', 'ortho_analytic_8b', 'ortho_analytic_8b_sr', 'ortho_analytic_8b_xml', 'ortho_udm2', 'ortho_visual']","{'coordinates': [[[150.89118615653143, -34.49950670631635], [150.83875657948437, -34.693703845764055], [151.23750092289887, -34.76627611424478], [151.2894289524147, -34.570708671447825], [150.89118615653143, -34.49950670631635]]], 'type': 'Polygon'}",20240121_000453_18_24dd,"{'acquired': '2024-01-21T00:04:53.180634Z', 'anomalous_pixels': 0, 'clear_confidence_percent': 90, 'clear_percent': 100, 'cloud_cover': 0, 'cloud_percent': 0, 'ground_control': True, 'gsd': 4.2, 'heavy_haze_percent': 0, 'instrument': 'PSB.SD', 'item_type': 'PSScene', 'light_haze_percent': 0, 'pixel_resolution': 3, 'provider': 'planetscope', 'published': '2024-01-21T06:45:09Z', 'publishing_stage': 'finalized', 'quality_category': 'standard', 'satellite_azimuth': 96.9, 'satellite_id': '24dd', 'shadow_percent': 0, 'snow_ice_percent': 0, 'strip_id': '7054717', 'sun_azimuth': 68.9, 'sun_elevation': 59.8, 'updated': '2024-01-22T05:32:51Z', 'view_angle': 5.1, 'visible_confidence_percent': 72, 'visible_percent': 100}",Feature
"{'_self': 'https://api.planet.com/data/v1/item-types/PSScene/items/20240120_231329_86_24c3', 'assets': 'https://api.planet.com/data/v1/item-types/PSScene/items/20240120_231329_86_24c3/assets/', 'thumbnail': 'https://tiles.planet.com/data/v1/item-types/PSScene/items/20240120_231329_86_24c3/thumb'}","['assets.basic_analytic_4b:download', 'assets.basic_analytic_4b_rpc:download', 'assets.basic_analytic_4b_xml:download', 'assets.basic_analytic_8b:download', 'assets.basic_analytic_8b_xml:download', 'assets.basic_udm2:download', 'assets.ortho_analytic_4b:download', 'assets.ortho_analytic_4b_sr:download', 'assets.ortho_analytic_4b_xml:download', 'assets.ortho_analytic_8b:download', 'assets.ortho_analytic_8b_sr:download', 'assets.ortho_analytic_8b_xml:download', 'assets.ortho_udm2:download', 'assets.ortho_visual:download']","['basic_analytic_4b', 'basic_analytic_4b_rpc', 'basic_analytic_4b_xml', 'basic_analytic_8b', 'basic_analytic_8b_xml', 'basic_udm2', 'ortho_analytic_4b', 'ortho_analytic_4b_sr', 'ortho_analytic_4b_xml', 'ortho_analytic_8b', 'ortho_analytic_8b_sr', 'ortho_analytic_8b_xml', 'ortho_udm2', 'ortho_visual']","{'coordinates': [[[150.63017176651243, -34.369703313868136], [150.58292478279614, -34.55228038100726], [150.95434363164912, -34.61806098433267], [151.00104146409666, -34.43438217621808], [150.63017176651243, -34.369703313868136]]], 'type': 'Polygon'}",20240120_231329_86_24c3,"{'acquired': '2024-01-20T23:13:29.861446Z', 'anomalous_pixels': 0, 'clear_confidence_percent': 95, 'clear_percent': 100, 'cloud_cover': 0, 'cloud_percent': 0, 'ground_control': True, 'gsd': 3.9, 'heavy_haze_percent': 0, 'instrument': 'PSB.SD', 'item_type': 'PSScene', 'light_haze_percent': 0, 'pixel_resolution': 3, 'provider': 'planetscope', 'published': '2024-01-21T02:49:30Z', 'publishing_stage': 'finalized', 'quality_category': 'standard', 'satellite_azimuth': 281.9, 'satellite_id': '24c3', 'shadow_percent': 0, 'snow_ice_percent': 0, 'strip_id': '7054433', 'sun_azimuth': 81.3, 'sun_elevation': 48.8, 'updated': '2024-01-21T09:57:19Z', 'view_angle': 3.1, 'visible_confidence_percent': 62, 'visible_percent': 100}",Feature
"{'_self': 'https://api.planet.com/data/v1/item-types/PSScene/items/20240118_231259_22_24af', 'assets': 'https://api.planet.com/data/v1/item-types/PSScene/items/20240118_231259_22_24af/assets/', 'thumbnail': 'https://tiles.planet.com/data/v1/item-types/PSScene/items/20240118_231259_22_24af/thumb'}","['assets.basic_analytic_4b:download', 'assets.basic_analytic_4b_rpc:download', 'assets.basic_analytic_4b_xml:download', 'assets.basic_analytic_8b:download', 'assets.basic_analytic_8b_xml:download', 'assets.basic_udm2:download', 'assets.ortho_analytic_4b:download', 'assets.ortho_analytic_4b_sr:download', 'assets.ortho_analytic_4b_xml:download', 'assets.ortho_analytic_8b:download', 'assets.ortho_analytic_8b_sr:download', 'assets.ortho_analytic_8b_xml:download', 'assets.ortho_udm2:download', 'assets.ortho_visual:download']","['basic_analytic_4b', 'basic_analytic_4b_rpc', 'basic_analytic_4b_xml', 'basic_analytic_8b', 'basic_analytic_8b_xml', 'basic_udm2', 'ortho_analytic_4b', 'ortho_analytic_4b_sr', 'ortho_analytic_4b_xml', 'ortho_analytic_8b', 'ortho_analytic_8b_sr', 'ortho_analytic_8b_xml', 'ortho_udm2', 'ortho_visual']","{'coordinates': [[[150.75950563173458, -34.39962115801104], [150.71136548432227, -34.582642665818874], [151.08295874678868, -34.64967777297241], [151.13089118254734, -34.4657630320033], [150.75950563173458, -34.39962115801104]]], 'type': 'Polygon'}",20240118_231259_22_24af,"{'acquired': '2024-01-18T23:12:59.227744Z', 'anomalous_pixels': 0, 'clear_confidence_percent': 94, 'clear_percent': 100, 'cloud_cover': 0, 'cloud_percent': 0, 'ground_control': True, 'gsd': 3.9, 'heavy_haze_percent': 0, 'instrument': 'PSB.SD', 'item_type': 'PSScene', 'light_haze_percent': 0, 'pixel_resolution': 3, 'provider': 'planetscope', 'published': '2024-01-19T03:03:00Z', 'publishing_stage': 'finalized', 'quality_category': 'standard', 'satellite_azimuth': 283.9, 'satellite_id': '24af', 'shadow_percent': 0, 'snow_ice_percent': 0, 'strip_id': '7049963', 'sun_azimuth': 81.6, 'sun_elevation': 49.2, 'updated': '2024-01-19T09:57:45Z', 'view_angle': 2.1, 'visible_confidence_percent': 63, 'visible_percent': 100}",Feature
