_links,_permissions,assets,geometry,id,properties,type
"{'_self': 'https://api.planet.com/data/v1/item-types/PSScene/items/20240224_231044_99_24ca', 'assets': 'https://api.planet.com/data/v1/item-types/PSScene/items/20240224_231044_99_24ca/assets/', 'thumbnail': 'https://tiles.planet.com/data/v1/item-types/PSScene/items/20240224_231044_99_24ca/thumb'}","['assets.basic_analytic_4b:download', 'assets.basic_analytic_4b_rpc:download', 'assets.basic_analytic_4b_xml:download', 'assets.basic_analytic_8b:download', 'assets.basic_analytic_8b_xml:download', 'assets.basic_udm2:download', 'assets.ortho_analytic_4b:download', 'assets.ortho_analytic_4b_sr:download', 'assets.ortho_analytic_4b_xml:download', 'assets.ortho_analytic_8b:download', 'assets.ortho_analytic_8b_sr:download', 'assets.ortho_analytic_8b_xml:download', 'assets.ortho_udm2:download', 'assets.ortho_visual:download']","['basic_analytic_4b', 'basic_analytic_4b_rpc', 'basic_analytic_4b_xml', 'basic_analytic_8b', 'basic_analytic_8b_xml', 'basic_udm2', 'ortho_analytic_4b', 'ortho_analytic_4b_sr', 'ortho_analytic_4b_xml', 'ortho_analytic_8b', 'ortho_analytic_8b_sr', 'ortho_analytic_8b_xml', 'ortho_udm2', 'ortho_visual']","{'coordinates': [[[150.80979711406286, -34.75367290137327], [150.76190721240977, -34.9322199291981], [151.12319677135088, -34.99587283419216], [151.17097633461717, -34.819367201564944], [150.80979711406286, -34.75367290137327]]], 'type': 'Polygon'}",20240224_231044_99_24ca,"{'acquired': '2024-02-24T23:10:44.997925Z', 'anomalous_pixels': 0, 'clear_confidence_percent': 89, 'clear_percent': 100, 'cloud_cover': 0, 'cloud_percent': 0, 'ground_control': True, 'gsd': 3.8, 'heavy_haze_percent': 0, 'instrument': 'PSB.SD', 'item_type': 'PSScene', 'light_haze_percent': 0, 'pixel_resolution': 3, 'provider': 'planetscope', 'published': '2024-02-25T01:00:27Z', 'publishing_stage': 'finalized', 'quality_category': 'standard', 'satellite_azimuth': 97.3, 'satellite_id': '24ca', 'shadow_percent': 0, 'snow_ice_percent': 0, 'strip_id': '7130885', 'sun_azimuth': 68.4, 'sun_elevation': 42.3, 'updated': '2024-02-25T08:41:36Z', 'view_angle': 5, 'visible_confidence_percent': 89, 'visible_percent': 100}",Feature
"{'_self': 'https://api.planet.com/data/v1/item-types/PSScene/items/20240216_231056_85_24c2', 'assets': 'https://api.planet.com/data/v1/item-types/PSScene/items/20240216_231056_85_24c2/assets/', 'thumbnail': 'https://tiles.planet.com/data/v1/item-types/PSScene/items/20240216_231056_85_24c2/thumb'}","['assets.basic_analytic_4b:download', 'assets.basic_analytic_4b_rpc:download', 'assets.basic_analytic_4b_xml:download', 'assets.basic_analytic_8b:download', 'assets.basic_analytic_8b_xml:download', 'assets.basic_udm2:download', 'assets.ortho_analytic_4b:download', 'assets.ortho_analytic_4b_sr:download', 'assets.ortho_analytic_4b_xml:download', 'assets.ortho_analytic_8b:download', 'assets.ortho_analytic_8b_sr:download', 'assets.ortho_analytic_8b_xml:download', 'assets.ortho_udm2:download', 'assets.ortho_visual:download']","['basic_analytic_4b', 'basic_analytic_4b_rpc', 'basic_analytic_4b_xml', 'basic_analytic_8b', 'basic_analytic_8b_xml', 'basic_udm2', 'ortho_analytic_4b', 'ortho_analytic_4b_sr', 'ortho_analytic_4b_xml', 'ortho_analytic_8b', 'ortho_analytic_8b_sr', 'ortho_analytic_8b_xml', 'ortho_udm2', 'ortho_visual']","{'coordinates': [[[150.76079677972066, -34.73263530952245], [150.71251432450734, -34.911797585757185], [151.07741990889676, -34.977172573901676], [151.124456618825, -34.79853100658795], [150.76079677972066, -34.73263530952245]]], 'type': 'Polygon'}",20240216_231056_85_24c2,"{'acquired': '2024-02-16T23:10:56.857634Z', 'anomalous_pixels': 0, 'clear_confidence_percent': 90, 'clear_percent': 99, 'cloud_cover': 0, 'cloud_percent': 0, 'ground_control': True, 'gsd': 3.8, 'heavy_haze_percent': 0, 'instrument': 'PSB.SD', 'item_type': 'PSScene', 'light_haze_percent': 0, 'pixel_resolution': 3, 'provider': 'planetscope', 'published': '2024-02-17T02:43:42Z', 'publishing_stage': 'finalized', 'quality_category': 'standard', 'satellite_azimuth': 96.3, 'satellite_id': '24c2', 'shadow_percent': 0, 'snow_ice_percent': 0, 'strip_id': '7113659', 'sun_azimuth': 71.8, 'sun_elevation': 43.9, 'updated': '2024-02-17T12:58:40Z', 'view_angle': 3.7, 'visible_confidence_percent': 66, 'visible_percent': 100}",Feature
"{'_self': 'https://api.planet.com/data/v1/item-types/PSScene/items/20240212_235742_72_2438', 'assets': 'https://api.planet.com/data/v1/item-types/PSScene/items/20240212_235742_72_2438/assets/', 'thumbnail': 'https://tiles.planet.com/data/v1/item-types/PSScene/items/20240212_235742_72_2438/thumb'}","['assets.basic_analytic_4b:download', 'assets.basic_analytic_4b_rpc:download', 'assets.basic_analytic_4b_xml:download', 'assets.basic_analytic_8b:download', 'assets.basic_analytic_8b_xml:download', 'assets.basic_udm2:download', 'assets.ortho_analytic_4b:download', 'assets.ortho_analytic_4b_sr:download', 'assets.ortho_analytic_4b_xml:download', 'assets.ortho_analytic_8b:download', 'assets.ortho_analytic_8b_sr:download', 'assets.ortho_analytic_8b_xml:download', 'assets.ortho_udm2:download', 'assets.ortho_visual:download']","['basic_analytic_4b', 'basic_analytic_4b_rpc', 'basic_analytic_4b_xml', 'basic_analytic_8b', 'basic_analytic_8b_xml', 'basic_udm2', 'ortho_analytic_4b', 'ortho_analytic_4b_sr', 'ortho_analytic_4b_xml', 'ortho_analytic_8b', 'ortho_analytic_8b_sr', 'ortho_analytic_8b_xml', 'ortho_udm2', 'ortho_visual']","{'coordinates': [[[150.82989113190288, -34.71629652506707], [150.78581619781718, -34.883059482439144], [151.1172544048952, -34.93679628285834], [151.15988052769524, -34.773701545329054], [150.82989113190288, -34.71629652506707]]], 'type': 'Polygon'}",20240212_235742_72_2438,"{'acquired': '2024-02-12T23:57:42.725925Z', 'anomalous_pixels': 0, 'clear_confidence_percent': 94, 'clear_percent': 100, 'cloud_cover': 0, 'cloud_percent': 0, 'ground_control': True, 'gsd': 3.5, 'heavy_haze_percent': 0, 'instrument': 'PSB.SD', 'item_type': 'PSScene', 'light_haze_percent': 0, 'pixel_resolution': 3, 'provider': 'planetscope', 'published': '2024-02-13T01:52:01Z', 'publishing_stage': 'finalized', 'quality_category': 'standard', 'satellite_azimuth': 95, 'satellite_id': '2438', 'shadow_percent': 0, 'snow_ice_percent': 0, 'strip_id': '7104908', 'sun_azimuth': 62.6, 'sun_elevation': 53.5, 'updated': '2024-02-15T03:58:11Z', 'view_angle': 2.8, 'visible_confidence_percent': 94, 'visible_percent': 100}",Feature
"{'_self': 'https://api.planet.com/data/v1/item-types/PSScene/items/20240212_235740_75_2438', 'assets': 'https://api.planet.com/data/v1/item-types/PSScene/items/20240212_235740_75_2438/assets/', 'thumbnail': 'https://tiles.planet.com/data/v1/item-types/PSScene/items/20240212_235740_75_2438/thumb'}","['assets.basic_analytic_4b:download', 'assets.basic_analytic_4b_rpc:download', 'assets.basic_analytic_4b_xml:download', 'assets.basic_analytic_8b:download', 'assets.basic_analytic_8b_xml:download', 'assets.basic_udm2:download', 'assets.ortho_analytic_4b:download', 'assets.ortho_analytic_4b_sr:download', 'assets.ortho_analytic_4b_xml:download', 'assets.ortho_analytic_8b:download', 'assets.ortho_analytic_8b_sr:download', 'assets.ortho_analytic_8b_xml:download', 'assets.ortho_udm2:download', 'assets.ortho_visual:download']","['basic_analytic_4b', 'basic_analytic_4b_rpc', 'basic_analytic_4b_xml', 'basic_analytic_8b', 'basic_analytic_8b_xml', 'basic_udm2', 'ortho_analytic_4b', 'ortho_analytic_4b_sr', 'ortho_analytic_4b_xml', 'ortho_analytic_8b', 'ortho_analytic_8b_sr', 'ortho_analytic_8b_xml', 'ortho_udm2', 'ortho_visual']","{'coordinates': [[[150.86282105137863, -34.59149577783115], [150.8189069786715, -34.75821228820235], [151.15770051540167, -34.8185271492657], [151.20101796429842, -34.652191442653205], [150.86282105137863, -34.59149577783115]]], 'type': 'Polygon'}",20240212_235740_75_2438,"{'acquired': '2024-02-12T23:57:40.750536Z', 'anomalous_pixels': 0, 'clear_confidence_percent': 94, 'clear_percent': 100, 'cloud_cover': 0, 'cloud_percent': 0, 'ground_control': True, 'gsd': 3.6, 'heavy_haze_percent': 0, 'instrument': 'PSB.SD', 'item_type': 'PSScene', 'light_haze_percent': 0, 'pixel_resolution': 3, 'provider': 'planetscope', 'published': '2024-02-13T01:51:49Z', 'publishing_stage': 'finalized', 'quality_category': 'standard', 'satellite_azimuth': 95.1, 'satellite_id': '2438', 'shadow_percent': 0, 'snow_ice_percent': 0, 'strip_id': '7104908', 'sun_azimuth': 62.8, 'sun_elevation': 53.6, 'updated': '2024-02-13T09:59:06Z', 'view_angle': 2.8, 'visible_confidence_percent': 74, 'visible_percent': 100}",Feature
"{'_self': 'https://api.planet.com/data/v1/item-types/PSScene/items/20240212_231818_47_242d', 'assets': 'https://api.planet.com/data/v1/item-types/PSScene/items/20240212_231818_47_242d/assets/', 'thumbnail': 'https://tiles.planet.com/data/v1/item-types/PSScene/items/20240212_231818_47_242d/thumb'}","['assets.basic_analytic_4b:download', 'assets.basic_analytic_4b_rpc:download', 'assets.basic_analytic_4b_xml:download', 'assets.basic_analytic_8b:download', 'assets.basic_analytic_8b_xml:download', 'assets.basic_udm2:download', 'assets.ortho_analytic_4b:download', 'assets.ortho_analytic_4b_sr:download', 'assets.ortho_analytic_4b_xml:download', 'assets.ortho_analytic_8b:download', 'assets.ortho_analytic_8b_sr:download', 'assets.ortho_analytic_8b_xml:download', 'assets.ortho_udm2:download', 'assets.ortho_visual:download']","['basic_analytic_4b', 'basic_analytic_4b_rpc', 'basic_analytic_4b_xml', 'basic_analytic_8b', 'basic_analytic_8b_xml', 'basic_udm2', 'ortho_analytic_4b', 'ortho_analytic_4b_sr', 'ortho_analytic_4b_xml', 'ortho_analytic_8b', 'ortho_analytic_8b_sr', 'ortho_analytic_8b_xml', 'ortho_udm2', 'ortho_visual']","{'coordinates': [[[150.52833944764419, -34.59153493410085], [150.48377326671329, -34.75613895903369], [150.8185247874876, -34.81571280512423], [150.86159539886722, -34.651876427003586], [150.52833944764419, -34.59153493410085]]], 'type': 'Polygon'}",20240212_231818_47_242d,"{'acquired': '2024-02-12T23:18:18.472129Z', 'anomalous_pixels': 0, 'clear_confidence_percent': 96, 'clear_percent': 100, 'cloud_cover': 0, 'cloud_percent': 0, 'ground_control': True, 'gsd': 3.5, 'heavy_haze_percent': 0, 'instrument': 'PSB.SD', 'item_type': 'PSScene', 'light_haze_percent': 0, 'pixel_resolution': 3, 'provider': 'planetscope', 'published': '2024-02-13T01:14:28Z', 'publishing_stage': 'finalized', 'quality_category': 'standard', 'satellite_azimuth': 96.9, 'satellite_id': '242d', 'shadow_percent': 0, 'snow_ice_percent': 0, 'strip_id': '7104825', 'sun_azimuth': 72.2, 'sun_elevation': 46, 'updated': '2024-02-13T12:57:26Z', 'view_angle': 5, 'visible_confidence_percent': 60, 'visible_percent': 100}",Feature
"{'_self': 'https://api.planet.com/data/v1/item-types/PSScene/items/20240212_231820_43_242d', 'assets': 'https://api.planet.com/data/v1/item-types/PSScene/items/20240212_231820_43_242d/assets/', 'thumbnail': 'https://tiles.planet.com/data/v1/item-types/PSScene/items/20240212_231820_43_242d/thumb'}","['assets.basic_analytic_4b:download', 'assets.basic_analytic_4b_rpc:download', 'assets.basic_analytic_4b_xml:download', 'assets.basic_analytic_8b:download', 'assets.basic_analytic_8b_xml:download', 'assets.basic_udm2:download', 'assets.ortho_analytic_4b:download', 'assets.ortho_analytic_4b_sr:download', 'assets.ortho_analytic_4b_xml:download', 'assets.ortho_analytic_8b:download', 'assets.ortho_analytic_8b_sr:download', 'assets.ortho_analytic_8b_xml:download', 'assets.ortho_udm2:download', 'assets.ortho_visual:download']","['basic_analytic_4b', 'basic_analytic_4b_rpc', 'basic_analytic_4b_xml', 'basic_analytic_8b', 'basic_analytic_8b_xml', 'basic_udm2', 'ortho_analytic_4b', 'ortho_analytic_4b_sr', 'ortho_analytic_4b_xml', 'ortho_analytic_8b', 'ortho_analytic_8b_sr', 'ortho_analytic_8b_xml', 'ortho_udm2', 'ortho_visual']","{'coordinates': [[[150.49501380183236, -34.715602829131115], [150.4509224474918, -34.880375107855706], [150.78631902879746, -34.94003445192286], [150.82951348872035, -34.77620132399508], [150.49501380183236, -34.715602829131115]]], 'type': 'Polygon'}",20240212_231820_43_242d,"{'acquired': '2024-02-12T23:18:20.434378Z', 'anomalous_pixels': 0, 'clear_confidence_percent': 96, 'clear_percent': 100, 'cloud_cover': 0, 'cloud_percent': 0, 'ground_control': True, 'gsd': 3.5, 'heavy_haze_percent': 0, 'instrument': 'PSB.SD', 'item_type': 'PSScene', 'light_haze_percent': 0, 'pixel_resolution': 3, 'provider': 'planetscope', 'published': '2024-02-13T01:12:57Z', 'publishing_stage': 'finalized', 'quality_category': 'standard', 'satellite_azimuth': 96.9, 'satellite_id': '242d', 'shadow_percent': 0, 'snow_ice_percent': 0, 'strip_id': '7104825', 'sun_azimuth': 72.1, 'sun_elevation': 46, 'updated': '2024-02-13T12:57:30Z', 'view_angle': 5, 'visible_confidence_percent': 62, 'visible_percent': 100}",Feature
"{'_self': 'https://api.planet.com/data/v1/item-types/PSScene/items/20240211_231049_08_24c3', 'assets': 'https://api.planet.com/data/v1/item-types/PSScene/items/20240211_231049_08_24c3/assets/', 'thumbnail': 'https://tiles.planet.com/data/v1/item-types/PSScene/items/20240211_231049_08_24c3/thumb'}","['assets.basic_analytic_4b:download', 'assets.basic_analytic_4b_rpc:download', 'assets.basic_analytic_4b_xml:download', 'assets.basic_analytic_8b:download', 'assets.basic_analytic_8b_xml:download', 'assets.basic_udm2:download', 'assets.ortho_analytic_4b:download', 'assets.ortho_analytic_4b_sr:download', 'assets.ortho_analytic_4b_xml:download', 'assets.ortho_analytic_8b:download', 'assets.ortho_analytic_8b_sr:download', 'assets.ortho_analytic_8b_xml:download', 'assets.ortho_udm2:download', 'assets.ortho_visual:download']","['basic_analytic_4b', 'basic_analytic_4b_rpc', 'basic_analytic_4b_xml', 'basic_analytic_8b', 'basic_analytic_8b_xml', 'basic_udm2', 'ortho_analytic_4b', 'ortho_analytic_4b_sr', 'ortho_analytic_4b_xml', 'ortho_analytic_8b', 'ortho_analytic_8b_sr', 'ortho_analytic_8b_xml', 'ortho_udm2', 'ortho_visual']","{'coordinates': [[[150.61599533032862, -34.72713668667394], [150.5674614510036, -34.90727116455194], [150.93478974899872, -34.97255159657619], [150.9817814102745, -34.793201452802556], [150.61599533032862, -34.72713668667394]]], 'type': 'Polygon'}",20240211_231049_08_24c3,"{'acquired': '2024-02-11T23:10:49.088709Z', 'anomalous_pixels': 0, 'clear_confidence_percent': 94, 'clear_percent': 100, 'cloud_cover': 0, 'cloud_percent': 0, 'ground_control': True, 'gsd': 3.9, 'heavy_haze_percent': 0, 'instrument': 'PSB.SD', 'item_type': 'PSScene', 'light_haze_percent': 0, 'pixel_resolution': 3, 'provider': 'planetscope', 'published': '2024-02-12T05:51:45Z', 'publishing_stage': 'finalized', 'quality_category': 'standard', 'satellite_azimuth': 95.8, 'satellite_id': '24c3', 'shadow_percent': 0, 'snow_ice_percent': 0, 'strip_id': '7103064', 'sun_azimuth': 73.8, 'sun_elevation': 44.8, 'updated': '2024-02-12T12:58:53Z', 'view_angle': 4.9, 'visible_confidence_percent': 73, 'visible_percent': 100}",Feature
"{'_self': 'https://api.planet.com/data/v1/item-types/PSScene/items/20240211_231120_79_24ca', 'assets': 'https://api.planet.com/data/v1/item-types/PSScene/items/20240211_231120_79_24ca/assets/', 'thumbnail': 'https://tiles.planet.com/data/v1/item-types/PSScene/items/20240211_231120_79_24ca/thumb'}","['assets.basic_analytic_4b:download', 'assets.basic_analytic_4b_rpc:download', 'assets.basic_analytic_4b_xml:download', 'assets.basic_analytic_8b:download', 'assets.basic_analytic_8b_xml:download', 'assets.basic_udm2:download', 'assets.ortho_analytic_4b:download', 'assets.ortho_analytic_4b_sr:download', 'assets.ortho_analytic_4b_xml:download', 'assets.ortho_analytic_8b:download', 'assets.ortho_analytic_8b_sr:download', 'assets.ortho_analytic_8b_xml:download', 'assets.ortho_udm2:download', 'assets.ortho_visual:download']","['basic_analytic_4b', 'basic_analytic_4b_rpc', 'basic_analytic_4b_xml', 'basic_analytic_8b', 'basic_analytic_8b_xml', 'basic_udm2', 'ortho_analytic_4b', 'ortho_analytic_4b_sr', 'ortho_analytic_4b_xml', 'ortho_analytic_8b', 'ortho_analytic_8b_sr', 'ortho_analytic_8b_xml', 'ortho_udm2', 'ortho_visual']","{'coordinates': [[[150.56186205976357, -34.72108381437274], [150.51355426617357, -34.90066043111727], [150.87934163544983, -34.96622384504218], [150.92665990823835, -34.78757887905666], [150.56186205976357, -34.72108381437274]]], 'type': 'Polygon'}",20240211_231120_79_24ca,"{'acquired': '2024-02-11T23:11:20.799243Z', 'anomalous_pixels': 0, 'clear_confidence_percent': 94, 'clear_percent': 100, 'cloud_cover': 0, 'cloud_percent': 0, 'ground_control': True, 'gsd': 3.8, 'heavy_haze_percent': 0, 'instrument': 'PSB.SD', 'item_type': 'PSScene', 'light_haze_percent': 0, 'pixel_resolution': 3, 'provider': 'planetscope', 'published': '2024-02-12T01:01:13Z', 'publishing_stage': 'finalized', 'quality_category': 'standard', 'satellite_azimuth': 97.2, 'satellite_id': '24ca', 'shadow_percent': 0, 'snow_ice_percent': 0, 'strip_id': '7102624', 'sun_azimuth': 73.8, 'sun_elevation': 44.9, 'updated': '2024-02-12T08:56:53Z', 'view_angle': 5, 'visible_confidence_percent': 74, 'visible_percent': 100}",Feature
"{'_self': 'https://api.planet.com/data/v1/item-types/PSScene/items/20240128_235406_37_241c', 'assets': 'https://api.planet.com/data/v1/item-types/PSScene/items/20240128_235406_37_241c/assets/', 'thumbnail': 'https://tiles.planet.com/data/v1/item-types/PSScene/items/20240128_235406_37_241c/thumb'}","['assets.basic_analytic_4b:download', 'assets.basic_analytic_4b_rpc:download', 'assets.basic_analytic_4b_xml:download', 'assets.basic_analytic_8b:download', 'assets.basic_analytic_8b_xml:download', 'assets.basic_udm2:download', 'assets.ortho_analytic_4b:download', 'assets.ortho_analytic_4b_sr:download', 'assets.ortho_analytic_4b_xml:download', 'assets.ortho_analytic_8b:download', 'assets.ortho_analytic_8b_sr:download', 'assets.ortho_analytic_8b_xml:download', 'assets.ortho_udm2:download', 'assets.ortho_visual:download']","['basic_analytic_4b', 'basic_analytic_4b_rpc', 'basic_analytic_4b_xml', 'basic_analytic_8b', 'basic_analytic_8b_xml', 'basic_udm2', 'ortho_analytic_4b', 'ortho_analytic_4b_sr', 'ortho_analytic_4b_xml', 'ortho_analytic_8b', 'ortho_analytic_8b_sr', 'ortho_analytic_8b_xml', 'ortho_udm2', 'ortho_visual']","{'coordinates': [[[150.5932442105763, -34.59033072011581], [150.54902170402931, -34.76004457704918], [150.89359968355615, -34.82060863811195], [150.93705247226526, -34.65069397564626], [150.5932442105763, -34.59033072011581]]], 'type': 'Polygon'}",20240128_235406_37_241c,"{'acquired': '2024-01-28T23:54:06.378916Z', 'anomalous_pixels': 0, 'clear_confidence_percent': 95, 'clear_percent': 100, 'cloud_cover': 0, 'cloud_percent': 0, 'ground_control': True, 'gsd': 3.6, 'heavy_haze_percent': 0, 'instrument': 'PSB.SD', 'item_type': 'PSScene', 'light_haze_percent': 0, 'pixel_resolution': 3, 'provider': 'planetscope', 'published': '2024-01-29T02:02:27Z', 'publishing_stage': 'finalized', 'quality_category': 'standard', 'satellite_azimuth': 26.6, 'satellite_id': '241c', 'shadow_percent': 0, 'snow_ice_percent': 0, 'strip_id': '7071522', 'sun_azimuth': 70.1, 'sun_elevation': 55.7, 'updated': '2024-01-29T09:58:36Z', 'view_angle': 0.9, 'visible_confidence_percent': 65, 'visible_percent': 100}",Feature
"{'_self': 'https://api.planet.com/data/v1/item-types/PSScene/items/20240128_235408_38_241c', 'assets': 'https://api.planet.com/data/v1/item-types/PSScene/items/20240128_235408_38_241c/assets/', 'thumbnail': 'https://tiles.planet.com/data/v1/item-types/PSScene/items/20240128_235408_38_241c/thumb'}","['assets.basic_analytic_4b:download', 'assets.basic_analytic_4b_rpc:download', 'assets.basic_analytic_4b_xml:download', 'assets.basic_analytic_8b:download', 'assets.basic_analytic_8b_xml:download', 'assets.basic_udm2:download', 'assets.ortho_analytic_4b:download', 'assets.ortho_analytic_4b_sr:download', 'assets.ortho_analytic_4b_xml:download', 'assets.ortho_analytic_8b:download', 'assets.ortho_analytic_8b_sr:download', 'assets.ortho_analytic_8b_xml:download', 'assets.ortho_udm2:download', 'assets.ortho_visual:download']","['basic_analytic_4b', 'basic_analytic_4b_rpc', 'basic_analytic_4b_xml', 'basic_analytic_8b', 'basic_analytic_8b_xml', 'basic_udm2', 'ortho_analytic_4b', 'ortho_analytic_4b_sr', 'ortho_analytic_4b_xml', 'ortho_analytic_8b', 'ortho_analytic_8b_sr', 'ortho_analytic_8b_xml', 'ortho_udm2', 'ortho_visual']","{'coordinates': [[[150.56057194900464, -34.71654634238203], [150.51626646533316, -34.88640415239562], [150.8615792061981, -34.947000479155605], [150.90515387899686, -34.77709334674392], [150.56057194900464, -34.71654634238203]]], 'type': 'Polygon'}",20240128_235408_38_241c,"{'acquired': '2024-01-28T23:54:08.382271Z', 'anomalous_pixels': 0, 'clear_confidence_percent': 95, 'clear_percent': 100, 'cloud_cover': 0, 'cloud_percent': 0, 'ground_control': True, 'gsd': 3.6, 'heavy_haze_percent': 0, 'instrument': 'PSB.SD', 'item_type': 'PSScene', 'light_haze_percent': 0, 'pixel_resolution': 3, 'provider': 'planetscope', 'published': '2024-01-29T01:59:02Z', 'publishing_stage': 'finalized', 'quality_category': 'standard', 'satellite_azimuth': 26, 'satellite_id': '241c', 'shadow_percent': 0, 'snow_ice_percent': 0, 'strip_id': '7071522', 'sun_azimuth': 69.9, 'sun_elevation': 55.6, 'updated': '2024-01-29T07:56:27Z', 'view_angle': 0.9, 'visible_confidence_percent': 62, 'visible_percent': 100}",Feature
